distrito,km_ciclovia,infracciones,accidentes,riesgo_sutran
AGUAS VERDES - NVO. CAJAMARCA,0.0,0.0,19.0,0.0
AMAZONAS,0.0,0.0,0.0,1.7039473684210527
ANCASH,0.0,0.0,0.0,1.6827242524916943
APURIMAC,0.0,0.0,0.0,2.272277227722772
AREQUIPA,0.0,0.0,0.0,1.7924528301886793
ATE,6.38,0.0,0.0,0.0
AYACUCHO,0.0,0.0,0.0,2.5654761904761907
Acceso Prov Nro1 - Aserradero,0.0,0.0,11.0,0.0
Acceso Prto. Yurimaguas -,0.0,0.0,1.0,0.0
Arequipa,0.0,0.0,0.0,0.0
Aserradero L. Bagua -,0.0,0.0,23.0,0.0
Aserradero L. PRuiz -,0.0,0.0,4.0,0.0
Asia/Lima,0.0,0.0,25.0,0.0
Ate,0.0,946.0,0.0,0.0
BAGUA - NARANJITOS,0.0,0.0,33.0,0.0
BARRANCO,8.67,0.0,0.0,0.0
BREÑA,0.1,0.0,0.0,0.0
Barranco,0.0,8095.0,0.0,0.0
Breña,0.0,1.0,0.0,0.0
Bujama/Lima,0.0,0.0,1.0,0.0
CAJAMARCA,0.0,0.0,0.0,1.562857142857143
CALLAO,0.0,0.0,0.0,1.8333333333333333
CAVICO - PUENTE CHAMAYA II,0.0,0.0,41.0,0.0
CAÑETE/LIMA,0.0,0.0,1245.0,0.0
CHAMAYA - CORRAL QUEMADO,0.0,0.0,31.0,0.0
CHILCA/LIMA,0.0,0.0,1037.0,0.0
CHINCHA/ICA,0.0,0.0,664.0,0.0
CHORRILLOS,18.05,0.0,0.0,0.0
CHOTA-HUALGAYOC,0.0,0.0,189.0,0.0
CIUDAD DIOS-DV. CHILETE,0.0,0.0,625.0,0.0
CORONTACHACA - PEDRO RUIZ,0.0,0.0,29.0,0.0
CORRAL QUEMADO - BAGUA,0.0,0.0,62.0,0.0
CUSCO,0.0,0.0,0.0,2.0
Cajamarca-Km1269,0.0,0.0,3.0,0.0
Callacuyan - Shorey,0.0,0.0,1.0,0.0
Cañete-Lima,0.0,0.0,20.0,0.0
Cañete/Ica,0.0,0.0,5.0,0.0
Cerro Azul/Lima,0.0,0.0,7.0,0.0
Chilca-Lima,0.0,0.0,13.0,0.0
Chincha-Ica,0.0,0.0,14.0,0.0
Chincha/ca,0.0,0.0,3.0,0.0
Chiple-Cutervo,0.0,0.0,124.0,0.0
Chorrillos,0.0,11511.0,0.0,0.0
Chota - Cochabamba,0.0,0.0,1.0,0.0
Ciudad de Dios-Dv. Chilete,0.0,0.0,8.0,0.0
Cochabamba-Chota,0.0,0.0,30.0,0.0
Cochabamba-Cutervo,0.0,0.0,1.0,0.0
Comas,0.0,9076.0,0.0,0.0
Cusco,0.0,0.0,0.0,1.0
Cutervo-Cochabamba,0.0,0.0,65.0,0.0
DV. MOYOBAMBA - PTE. BOLIVIA,0.0,0.0,386.0,0.0
DV. OLMOS - EL CHINCHE,0.0,0.0,153.0,0.0
DV. OTUZCO-TRUJILLO,0.0,0.0,1398.0,0.0
Desvio Prov Sector1 - Aserradero,0.0,0.0,23.0,0.0
Desvio Prov Sector2 - Aserradero,0.0,0.0,2.0,0.0
Dv. Callacuyan-Shorey,0.0,0.0,204.0,0.0
Dv. Chilete-Cajamarca,0.0,0.0,423.0,0.0
Dv. Chilete-Emp PE-3N,0.0,0.0,118.0,0.0
Dv. Chilete-Emp. P3 3N,0.0,0.0,3.0,0.0
Dv. Yanacocha-Cajamarca,0.0,0.0,30.0,0.0
Dv.Yanacocha-Cajamarca,0.0,0.0,230.0,0.0
EL AGUSTINO,0.76,0.0,0.0,0.0
EL ARENAL - PUCARÁ,0.0,0.0,56.0,0.0
EL CHINCHE - EL TAMBO,0.0,0.0,254.0,0.0
EL TAMBO - KM 79,0.0,0.0,47.0,0.0
EL TINGO - CORONTACHACA,0.0,0.0,68.0,0.0
Evitamiento Piura -,0.0,0.0,14.0,0.0
Evitamiento Tarapoto -,0.0,0.0,5.0,0.0
HUAMACHUCO-DV. CALLACUYÁN,0.0,0.0,407.0,0.0
HUANCAVELICA,0.0,0.0,0.0,2.4516129032258065
HUANCAYO-OROYA,0.0,0.0,335.0,0.0
HUANUCO,0.0,0.0,0.0,1.3620689655172413
Hualgayoc-Dv. Yanacocha,0.0,0.0,12.0,0.0
Hualgayoc-Dv.Yanacoch,0.0,0.0,2.0,0.0
Hualgayoc-Dv.Yanacocha,0.0,0.0,138.0,0.0
Huamachuco - Callacuyan,0.0,0.0,10.0,0.0
ICA,0.0,0.0,0.0,2.0318302387267906
INDEPENDENCIA,3.12,0.0,0.0,0.0
INTERCAMBIO VIAL PIURA - PAITA (PUERTA MUELLE),0.0,0.0,77.0,0.0
Ica/Chincha,0.0,0.0,239.0,0.0
Ica/Ica,0.0,0.0,921.0,0.0
Ica/Jahuay,0.0,0.0,10.0,0.0
Ica/Pisco,0.0,0.0,11.0,0.0
Intercambio vial RM1 -,0.0,0.0,1.0,0.0
Intercambio vial RM5.1 -,0.0,0.0,1.0,0.0
Intercambio vial RM5.2 -,0.0,0.0,1.0,0.0
JESUS MARIA,13.61,0.0,0.0,0.0
JUNIN,0.0,0.0,0.0,1.6671328671328671
Jahuay/Ica,0.0,0.0,11.0,0.0
Jayanca - Motupe,0.0,0.0,2.0,0.0
Jesús María,0.0,45.0,0.0,0.0
KM 79 - EL ARENAL,0.0,0.0,61.0,0.0
Km 115 - Yurimaguas,0.0,0.0,15.0,0.0
Km 1269-San Marcos,0.0,0.0,111.0,0.0
Km. 1269 - San Marcos,0.0,0.0,3.0,0.0
LA LIBERTAD,0.0,0.0,0.0,2.501519756838906
LA MOLINA,22.6,0.0,0.0,0.0
LA VICTORIA,6.14,0.0,0.0,0.0
LAMBAYEQUE,0.0,0.0,0.0,2.1895043731778427
LAMBAYEQUE - DV. OLMOS,0.0,0.0,26.0,0.0
LIMA,0.0,0.0,0.0,1.5102695763799743
LIMA CERCADO,22.79,0.0,0.0,0.0
LIMA-OROYA,0.0,0.0,4890.0,0.0
LIMA/ASIA,0.0,0.0,29.0,0.0
LIMA/CAÑETE,0.0,0.0,209.0,0.0
LIMA/CHILCA,0.0,0.0,345.0,0.0
LINCE,5.8100000000000005,0.0,0.0,0.0
LORETO,0.0,0.0,0.0,1.5
LOS OLIVOS,6.7299999999999995,0.0,0.0,0.0
LURIN,7.79,0.0,0.0,0.0
La Molina,0.0,9517.0,0.0,0.0
La Victoria,0.0,30153.0,0.0,0.0
Lambayeque (Dv.Mochumi) - Illimo,0.0,0.0,3.0,0.0
Lima,0.0,5658.0,0.0,0.0
Lima/Bujama,0.0,0.0,2.0,0.0
Lima/Mala,0.0,0.0,2.0,0.0
MADRE DE DIOS,0.0,0.0,0.0,1.581151832460733
MAGDALENA DEL MAR,9.71,0.0,0.0,0.0
MIRAFLORES,20.41,0.0,0.0,0.0
MOQUEGUA,0.0,0.0,0.0,1.1741935483870967
Magdalena del Mar,0.0,82836.0,0.0,0.0
Miraflores,0.0,8697.0,0.0,0.0
Motupe - Dv. Olmos,0.0,0.0,3.0,0.0
N.I.,0.0,0.0,0.0,1.1428571428571428
NARANJITOS - EL TINGO,0.0,0.0,91.0,0.0
NORIA ZAPATA - DV. OLMOS,0.0,0.0,123.0,0.0
NVO. CAJAMARCA - RIOJA,0.0,0.0,139.0,0.0
OROYA-HUANCAYO,0.0,0.0,1137.0,0.0
OROYA-LIMA,0.0,0.0,1265.0,0.0
OROYA-PASCO,0.0,0.0,918.0,0.0
PACHACAMAC,1.88,0.0,0.0,0.0
PASCO,0.0,0.0,0.0,2.5324675324675323
PASCO-OROYA,0.0,0.0,264.0,0.0
PE - 08-DV. CHILETE-EMP PE-3N,0.0,0.0,3.0,0.0
PEDRO RUIZ - PTE. VILCANIZA,0.0,0.0,333.0,0.0
PIURA,0.0,0.0,0.0,2.085626911314985
PIURA (CRUCE AV CÁCERES) - NORIA ZAPATA,0.0,0.0,339.0,0.0
PONGO CAINARACHI - KM 115,0.0,0.0,92.0,0.0
PTE. BOLIVIA - TARAPOTO (PTE. CUMBAZA),0.0,0.0,95.0,0.0
PTE. CHAMAYA II - CHAMAYA,0.0,0.0,43.0,0.0
PTE. NIEVA - AGUAS VERDES,0.0,0.0,205.0,0.0
PTE. VILCANIZA - PTE. NIEVA,0.0,0.0,127.0,0.0
PUCARÁ - CAVICO,0.0,0.0,77.0,0.0
PUEBLO LIBRE,8.28,0.0,0.0,0.0
PUNO,0.0,0.0,0.0,2.011342155009452
PUNTA HERMOSA,6.23,0.0,0.0,0.0
PUNTA NEGRA,5.6,0.0,0.0,0.0
Pisco/Ica,0.0,0.0,35.0,0.0
Pueblo Libre,0.0,1233.0,0.0,0.0
Puno,0.0,0.0,0.0,1.0
RIMAC,5.92,0.0,0.0,0.0
RIOJA - DV. MOYOBAMBA,0.0,0.0,156.0,0.0
Rímac,0.0,6731.0,0.0,0.0
SAN BARTOLO,2.56,0.0,0.0,0.0
SAN BORJA,28.4,0.0,0.0,0.0
SAN ISIDRO,24.35,0.0,0.0,0.0
SAN JUAN DE LURIGANCHO,11.66,0.0,0.0,0.0
SAN JUAN DE MIRAFLORES,5.390000000000001,0.0,0.0,0.0
SAN LUIS,0.85,0.0,0.0,0.0
SAN MARTIN,0.0,0.0,0.0,1.7445255474452555
SAN MARTIN DE PORRES,20.25,0.0,0.0,0.0
SAN MIGUEL,20.33,0.0,0.0,0.0
SANTA ANITA,4.43,0.0,0.0,0.0
SANTA MARIA DEL MAR,0.1,0.0,0.0,0.0
SANTIAGO DE SURCO,13.35,0.0,0.0,0.0
SHOREY-DV. OTUZCO,0.0,0.0,338.0,0.0
SURQUILLO,3.77,0.0,0.0,0.0
San Juan de Lurigancho,0.0,1.0,0.0,0.0
San Juan de Miraflores,0.0,9809.0,0.0,0.0
San Luis,0.0,1.0,0.0,0.0
San Marcos-Cajabamba,0.0,0.0,70.0,0.0
San Martín de Porres,0.0,781.0,0.0,0.0
San Miguel,0.0,3451.0,0.0,0.0
Santiago de Surco,0.0,4833.0,0.0,0.0
Sausacocha-Huamachuco,0.0,0.0,25.0,0.0
Surquillo,0.0,2.0,0.0,0.0
TACNA,0.0,0.0,0.0,2.0
TARAPOTO (ÓVALO MARGINAL) - PONGO CAINARACHI,0.0,0.0,346.0,0.0
TUMBES,0.0,0.0,0.0,2.44
UCAYALI,0.0,0.0,0.0,1.896103896103896
VARIANTE ASERRADERO -,0.0,0.0,45.0,0.0
VILLA EL SALVADOR,16.12,0.0,0.0,0.0
VILLA MARIA DEL TRIUNFO,0.29,0.0,0.0,0.0
Villa María del Triunfo,0.0,2243.0,0.0,0.0
ÓVALO CÁCERES - PAITA (PUERTA MUELLE),0.0,0.0,197.0,0.0
